     887     373.380    -34.747
     889     373.380    -31.699
     891     373.380    -28.651
     893     373.380    -25.603
     896     373.380    -22.555
     907     373.380    -19.507
     914     373.380    -17.272
     920     373.380    -15.037
     926     373.380    -12.802
     939     361.188    -68.580
     941     361.188    -64.922
     943     361.188    -61.265
     946     361.188    -57.607
     948     361.188    -53.950
     952     361.188    -50.292
     954     361.188    -48.158
     957     361.188    -46.025
     960     361.188    -43.891
     963     361.188    -41.859
     966     361.188    -39.827
     969     361.188    -37.795
     971     361.188    -36.271
     973     361.188    -34.747
     975     361.188    -31.699
     977     361.188    -28.651
     979     361.188    -25.603
     981     361.188    -22.555
     989     361.188    -19.507
     996     361.188    -17.272
    1003     361.188    -15.037
    1009     361.188    -12.802
    1026     348.845    -68.580
    1028     348.845    -64.922
    1031     348.845    -61.265
    1033     348.845    -57.607
    1036     348.845    -53.950
    1039     348.845    -50.292
    1042     348.845    -48.158
    1045     348.845    -46.025
    1047     348.845    -43.891
    1050     348.845    -41.859
    1053     348.845    -39.827
    1055     348.845    -37.795
    1058     348.845    -36.271
    1060     348.845    -34.747
    1062     348.845    -31.699
    1064     348.845    -28.651
    1066     348.845    -25.603
    1068     348.845    -22.555
    1070     348.845    -19.507
    1079     348.845    -17.272
    1085     348.845    -15.037
    1093     348.845    -12.802
    1105     347.980    -10.465
    1117     336.271    -68.580
    1119     336.271    -64.922
    1121     336.271    -61.265
    1124     336.271    -57.607
    1127     336.271    -53.950
    1130     336.271    -50.292
    1133     336.271    -48.158
    1135     336.271    -46.025
    1138     336.271    -43.891
    1141     336.271    -41.859
    1143     336.271    -39.827
    1145     336.271    -37.795
    1148     336.271    -36.271
    1150     336.271    -34.747
    1152     336.271    -31.699
    1155     336.271    -28.651
    1157     336.271    -25.603
    1159     336.271    -22.555
    1161     336.271    -19.507
    1163     336.271    -17.272
    1173     336.271    -15.037
    1179     336.271    -12.802
    1187     336.294    -10.465
    1201     334.772     -8.128
    1212     323.479    -68.580
    1214     323.479    -64.922
    1216     323.479    -61.265
    1219     323.479    -57.607
    1222     323.479    -53.950
    1226     323.479    -50.292
    1229     323.479    -48.158
    1231     323.479    -46.025
    1234     323.479    -43.891
    1236     323.479    -41.859
    1238     323.479    -39.827
    1240     323.479    -37.795
    1243     323.479    -36.271
    1245     323.479    -34.747
    1247     323.479    -31.699
    1249     323.479    -28.651
    1252     323.479    -25.603
    1254     323.479    -22.555
    1256     323.479    -19.507
    1258     323.479    -17.272
    1260     323.479    -15.037
    1265     324.448    -10.465
    1273     323.479    -12.802
    1279     324.185     -8.128
    1301     321.564     -5.791
    1315     310.483    -68.580
    1317     310.483    -64.922
    1319     310.483    -61.265
    1322     310.483    -57.607
    1324     310.483    -53.950
    1327     310.483    -50.292
    1329     310.483    -48.158
    1331     310.483    -46.025
    1333     310.483    -43.891
    1335     310.483    -41.859
    1337     310.483    -39.827
    1339     310.483    -37.795
    1341     310.483    -36.271
    1344     310.483    -34.747
    1346     310.483    -31.699
    1348     310.483    -28.651
    1350     310.483    -25.603
    1352     310.483    -22.555
    1355     313.341     -8.128
    1356     310.483    -19.507
    1357     312.449    -10.465
    1359     310.483    -17.272
    1363     310.483    -15.037
    1365     310.483    -12.802
    1377     311.634     -5.791
    1418     297.296    -68.580
    1420     297.296    -64.922
    1422     297.296    -61.265
    1424     297.296    -57.607
    1426     297.296    -53.950
    1428     297.296    -50.292
    1430     297.296    -48.158
    1432     297.296    -46.025
    1434     297.296    -43.891
    1436     297.296    -41.859
    1438     297.296    -39.827
    1440     297.296    -37.795
    1442     297.296    -36.271
    1444     297.296    -34.747
    1445     302.257     -8.128
    1448     297.296    -31.699
    1449     303.276     -2.896
    1453     297.296    -28.651
    1455     297.296    -25.603
    1456     301.518     -5.791
    1457     300.304    -10.465
    1459     297.296    -22.555
    1461     297.296    -19.507
    1464     297.296    -17.272
    1466     297.296    -15.037
    1468     297.296    -12.802
    1513     294.459     -2.896
    1524     283.933    -68.580
    1526     283.933    -64.922
    1528     290.950     -8.128
    1529     283.933    -61.265
    1531     283.933    -57.607
    1533     291.227     -5.791
    1534     283.933    -53.950
    1536     283.933    -50.292
    1538     283.933    -48.158
    1540     283.933    -46.025
    1543     283.933    -43.891
    1545     283.933    -41.859
    1547     283.933    -39.827
    1549     283.933    -37.795
    1551     283.933    -36.271
    1553     283.933    -34.747
    1556     288.017    -10.465
    1558     283.933    -31.699
    1560     283.933    -28.651
    1562     283.933    -25.603
    1565     283.933    -22.555
    1568     283.933    -19.507
    1570     283.933    -17.272
    1573     283.933    -15.037
    1577     283.933    -12.802
    1579     285.478     -2.896
    1597     284.988      0.000
    1621     280.771     -5.791
    1626     279.440     -8.128
    1637     270.410    -68.580
    1639     270.410    -64.922
    1641     270.410    -61.265
    1643     270.410    -57.607
    1645     270.410    -53.950
    1647     270.410    -50.292
    1649     270.410    -48.158
    1651     270.410    -46.025
    1654     275.594    -10.465
    1655     270.410    -43.891
    1657     270.410    -41.859
    1659     270.410    -39.827
    1661     270.410    -37.795
    1662     277.285      0.000
    1664     270.410    -36.271
    1666     276.341     -2.896
    1667     270.410    -34.747
    1671     270.410    -31.699
    1674     270.410    -28.651
    1677     270.410    -25.603
    1680     275.822      2.357
    1681     270.410    -22.555
    1684     270.410    -19.507
    1686     270.410    -17.272
    1690     270.410    -15.037
    1693     270.410    -12.802
    1708     270.162     -5.791
    1730     267.750     -8.128
    1733     269.438      0.000
    1742     268.665      2.358
    1744     267.058     -2.896
    1755     266.700      4.877
    1757     263.041    -10.465
    1760     256.742    -68.580
    1762     256.742    -64.922
    1765     256.742    -61.265
    1767     256.742    -57.607
    1769     256.742    -53.950
    1772     256.742    -50.292
    1775     256.742    -48.158
    1777     256.742    -46.025
    1779     256.742    -43.891
    1781     256.742    -41.859
    1784     256.742    -39.827
