  78       0.000      1952305.0   0.000
 210       0.000      2342766.0   0.000
 283       0.000      78.092      0.000
 356       0.000      78.092      0.000
 436       0.000      78.092      0.000
 515       0.000      78.092      0.000
 589       0.000      78.092      0.000
 674       0.000      78.092      0.000
 759       0.000      78.092      0.000
 843       0.000      78.092      0.000
 926       0.000      78.092      0.000
1009       0.000      81.951      0.000
1105       10.95      69.301      0.000
1201       8.499      53.824      0.000
1301       6.053      38.354      0.000
1449       3.030      19.177      0.000
