   1   0   1   0
  78   0   0   1
  84   0   1   0
 139   0   1   0
 210   0   0   1
 227   0   1   0
 283   0   0   1
 321   0   1   0
 356   0   0   1
 411   0   1   0
 436   0   0   1
 500   0   1   0
 515   0   0   1
 589   0   0   1
 591   0   1   0
 674   0   0   1
 678   0   1   0
 759   0   0   1
 765   0   1   0
 843   0   0   1
 852   0   1   0
 926   0   0   1
 939   0   1   0
1009   0   0   1
1026   0   1   0
1105   0   0   1
1117   0   1   0
1201   0   0   1
1212   0   1   0
1301   0   0   1
1315   0   1   0
1377   0   0   1
1418   0   1   0
1449   0   0   1
1456   0   0   1
1513   0   0   1
1524   0   1   0
1533   0   0   1
1579   0   0   1
1597   0   0   1
1621   0   0   1
1637   0   1   0
1662   0   0   1
1666   0   0   1
1680   0   0   1
1708   0   0   1
1733   0   0   1
1742   0   0   1
1744   0   0   1
1755   0   0   1
1760   0   1   0
1803   0   0   1
1808   0   0   1
1810   0   0   1
1821   0   0   1
1822   0   0   1
1874   0   0   1
1877   0   0   1
1884   0   0   1
1887   0   1   0
1904   0   0   1
1923   0   0   1
1942   0   0   1
1947   0   0   1
1948   0   0   1
2004   0   0   1
2007   0   0   1
2010   0   0   1
2012   0   0   1
2014   0   0   1
2016   0   1   0
2072   0   0   1
2074   0   0   1
2085   0   0   1
2100   0   0   1
2110   0   0   1
2135   0   0   1
2141   0   0   1
2143   0   1   0
2180   0   0   1
2183   0   0   1
2200   0   0   1
2201   0   0   1
2214   0   0   1
2254   0   0   1
2263   0   0   1
2264   0   0   1
2269   0   1   0
2289   0   0   1
2309   0   0   1
2327   0   0   1
2328   0   0   1
2356   0   0   1
2366   0   0   1
2390   0   0   1
2394   0   0   1
2396   0   0   1
2397   0   1   0
2436   0   0   1
2447   0   0   1
2455   0   0   1
2484   0   0   1
2506   0   0   1
2509   0   0   1
2519   0   0   1
2522   0   0   1
2523   0   1   0
2564   0   0   1
2576   0   0   1
2583   0   0   1
2606   0   0   1
2626   0   0   1
2639   0   0   1
2643   0   0   1
2648   0   0   1
2650   0   1   0
2705   0   0   1
2707   0   0   1
2709   0   0   1
2711   0   0   1
2713   0   0   1
2771   0   1   0
2819   0   0   1
2821   0   0   1
2823   0   0   1
2825   0   0   1
2827   0   0   1
2885   0   1   0
2933   0   0   1
2935   0   0   1
2937   0   0   1
2939   0   0   1
2941   0   0   1
2999   0   1   0
3047   0   0   1
3049   0   0   1
3051   0   0   1
3053   0   0   1
3055   0   0   1
3113   0   1   0
3161   0   0   1
3163   0   0   1
3165   0   0   1
3167   0   0   1
3169   0   0   1
3227   0   1   0
3275   0   0   1
3277   0   0   1
3279   0   0   1
3281   0   0   1
3283   0   0   1
3341   0   1   0
3389   0   0   1
3391   0   0   1
3393   0   0   1
3395   0   0   1
3397   0   0   1
3455   0   1   0
3503   0   0   1
3505   0   0   1
3507   0   0   1
3509   0   0   1
3511   0   0   1
3569   0   1   0
3617   0   0   1
3619   0   0   1
3621   0   0   1
3623   0   0   1
3625   0   0   1
3683   0   1   0
3731   0   0   1
3733   0   0   1
3735   0   0   1
3737   0   0   1
3739   0   0   1
3797   0   1   0
3845   0   0   1
3847   0   0   1
3849   0   0   1
3851   0   0   1
3853   0   0   1
3911   0   1   0
3959   0   0   1
3961   0   0   1
3963   0   0   1
3965   0   0   1
3967   0   0   1
